SKU,NOMBRE TECNICO INTERNO CON ID,ID,ETIQUETADO,¿CAMBIO?,COMENTARIO,CATEGORIA,MARCA,MODELO,FAMILIA,SUB FAMILIA,NOMBRE PARA COTIZACIONES,NOMBRE CORTO ALMACEN,COLOR,STATUS,UBICACION,UNIT/SET,RACK,PANEL,IDENTIFICADOR RFID,NUMERO DE SERIE,GARANTIA VIGENTE,PRECIO ORIGINAL,PRECIO RENTA IDEAL,PRECIO RENTA MINIMO
BP966184,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE001,AE001,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP453617,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE002,AE002,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP812762,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE003,AE003,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP288727,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE004,AE004,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP316826,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE005,AE005,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP347222,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE006,AE006,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP581755,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE007,AE007,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP399914,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE008,AE008,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP781137,AMPLIFICADOR | ELECTROVOICE | P3000 | ID AE009,AE009,SI,,BIEN,AUDIO,ELECTROVOICE,P3000,AMPLIFICADOR,-,Amplificador :: Electrovoice | P3000,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$740.00
BP248158,AMPLIFICADOR | CAMCO | VORTEX 3 | ID AC001,AC001,SI,,BIEN,AUDIO,CAMCO,VORTEX 3,AMPLIFICADOR,-,Amplificador :: Camco | Vortex 3,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$840.00
BP865953,AMPLIFICADOR | CROWN | MIROTECH 2400 | ID AC002,AC002,SI,,BIEN,AUDIO,CROWN,MIROTECH 2400,AMPLIFICADOR,-,Amplificador :: Crown | Mirotech,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$530.00
BP870617,AMPLIFICADOR | LABGRUPPEN | IPD2400 | ID AL001,AL001,SI,,BIEN,AUDIO,LABGRUPPEN,IPD2400,AMPLIFICADOR,-,Amplificador :: Labgruppen | IPD,,NEGRO,,,INDIVIDUAL,,,,39112062,,$0.00,$0.00,"$1,100.00"
BP599838,AMPLIFICADOR | LABGRUPPEN | IPD2400 | ID AL002,AL002,SI,,BIEN,AUDIO,LABGRUPPEN,IPD2400,AMPLIFICADOR,-,Amplificador :: Labgruppen | IPD,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP150008,AMPLIFICADOR | LABGRUPPEN | E SERIES 12:2 | ID AL003,AL003,SI,,BIEN,AUDIO,LABGRUPPEN,E SERIES 12:2,AMPLIFICADOR,-,Amplificador :: Labgruppen | E Series,,NEGRO,EXTRAVIADO,EXTRAVIADO,INDIVIDUAL,,,,38210583,,$0.00,$0.00,$840.00
BP427711,AMPLIFICADOR | LABGRUPPEN | E SERIES 12:2 | ID AL004,AL004,SI,,BIEN,AUDIO,LABGRUPPEN,E SERIES 12:2,AMPLIFICADOR,-,Amplificador :: Labgruppen | E Series,,NEGRO,,,INDIVIDUAL,,,,38210575,,$0.00,$0.00,$840.00
BP878880,AMPLIFICADOR | PLUS | R500 | ID AP001,AP001,SI,,BIEN,AUDIO,PLUS,R500,AMPLIFICADOR,-,Amplificador :: Plus | R500,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$530.00
BP328751,AMPLIFICADOR | NEXO | NX AMP4X2MK2 | ID AN001,AN001,SI,,BIEN,AUDIO,NEXO,NXAMP4X2 MK2,AMPLIFICADOR,-,Amplificador :: Nexo | NX MK2,,NEGRO,,,INDIVIDUAL,,,,12121022001105,,$0.00,$0.00,"$4,000.00"
BP713604,AMPLIFICADOR | NEXO | NX AMP4X2MK2 | ID AN002,AN002,SI,,BIEN,AUDIO,NEXO,NXAMP4X2 MK2,AMPLIFICADOR,-,Amplificador :: Nexo | NX MK2,,NEGRO,,,INDIVIDUAL,,,,12120823001150,,$0.00,$0.00,"$4,000.00"
BP623902,AMPLIFICADOR | NEXO | NX AMP4X2MK2 | ID AN003,AN003,SI,,BIEN,AUDIO,NEXO,NXAMP4X2 MK2,AMPLIFICADOR,-,Amplificador :: Nexo | NX MK2,,NEGRO,,,INDIVIDUAL,,,,12121022001003,,$0.00,$0.00,"$4,000.00"
BP792283,AMPLIFICADOR | NEXO | NX AMP4X2MK2 | ID AN004,AN004,SI,,BIEN,AUDIO,NEXO,NXAMP4X4 MK2,AMPLIFICADOR,-,Amplificador :: Nexo | NX MK2,,NEGRO,,,INDIVIDUAL,,,,12130823001095,,$0.00,$0.00,"$8,000.00"
BP886854,AMPLIFICADOR | NEXO | NX AMP4X2MK2 | ID AN005,AN005,SI,,BIEN,AUDIO,NEXO,NXAMP4X4 MK2,AMPLIFICADOR,-,Amplificador :: Nexo | NX MK2,,NEGRO,,,INDIVIDUAL,,,,12131222001075,,$0.00,$0.00,"$8,000.00"
BP107106,AMPLIFICADOR | NEXO | PS8 | ID AN006,AN006,SI,,BIEN,AUDIO,NEXO,PS8,AMPLIFICADOR,-,Amplificador :: Nexo | PS8,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$840.00
BP156166,AMPLIFICADOR | NEXO | PS8 | ID AN007,AN007,SI,,BIEN,AUDIO,NEXO,PS8,AMPLIFICADOR,-,Amplificador :: Nexo | PS8,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$840.00
BP310990,AMPLIFICADOR | QSC | RMX 2450A | ID AQ001,AQ001,,,BIEN,AUDIO,QSC,RMX2450A,AMPLIFICADOR,-,Amplificador :: QSC | RMX,,NEGRO,,,INDIVIDUAL,,,,GAF0D0839,,$0.00,$0.00,$530.00
BP609655,AMPLIFICADOR | QSC | RMX 2450A | ID AQ002,AQ002,,,BIEN,AUDIO,QSC,RMX2450A,AMPLIFICADOR,-,Amplificador :: QSC | RMX,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$530.00
BP931303,AMPLIFICADOR | QSC | RMX 4050 HD | ID AQ003,AQ003,SI,,BIEN,AUDIO,QSC,RMX4050HD,AMPLIFICADOR,-,Amplificador :: QSC | RMX,,NEGRO,,,INDIVIDUAL,,,,40732946,,$0.00,$0.00,$530.00
BP692571,AMPLIFICADOR | QSC | RMX 4050 HD | ID AQ004,AQ004,SI,,BIEN,AUDIO,QSC,RMX4050HD,AMPLIFICADOR,-,Amplificador :: QSC | RMX,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$530.00
BP805524,AMPLIFICADOR | QSC | RMX 5050 | ID AQ005,AQ005,SI,,BIEN,AUDIO,QSC,RMX5050,AMPLIFICADOR,-,Amplificador :: QSC | RMX,,NEGRO,,,INDIVIDUAL,,,,30726883,,$0.00,$0.00,$530.00
BP751065,AMPLIFICADOR | QSC | RMX 5050 | ID AQ006,AQ006,SI,,BIEN,AUDIO,QSC,RMX5050,AMPLIFICADOR,-,Amplificador :: QSC | RMX,,NEGRO,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$530.00
BP689957,BACKLINE | AMPLIFICADOR DE GUITARRA | FENDER | TWIN REVERB | ID BF001,BF001,SI,,BIEN,BACKLINE,FENDER,TWIN REVERB,AMPLIFICADOR,GUITARRA,Amplificador de Guitarra :: Fender | Twin,,NEGRO,,,INDIVIDUAL,,,,AC 091863,,$0.00,$0.00,"$1,580.00"
BP177067,BACKLINE | AMPLIFICADOR DE GUITARRA | VOX | AC30C2 | ID BV001,BV001,,,BIEN,BACKLINE,VOX,AC30C2,AMPLIFICADOR,GUITARRA,Amplificador de Guitarra :: VOX,,NEGRO,,,INDIVIDUAL,,,,O08-023807,,$0.00,$0.00,"$1,580.00"
BP286796,BACKLINE | AMPLIFICADOR DE GUITARRA | FENDER | DEVILLE | ID BF002,BF002,SI,,BIEN,BACKLINE,FENDER,DEVILLE,AMPLIFICADOR,GUITARRA,Amplificador de Guitarra :: Fender | Deville,,NEGRO,,,INDIVIDUAL,,,,B-566231,,$0.00,$0.00,"$1,050.00"
BP920420,BACKLINE | GABINETE PARA BAJO | AMPEG | SVT810E | ID BA001,BA001,,,BIEN ,BACKLINE,AMPEG,SVT810E,GABINETE,BAJO,Gabinete para Bajo :: AMPEG,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$840.00
BP891841,BACKLINE | DRUM PACIFIC | TAMBOR | 10X8 | PDP | ID BP001,BP001,,,BIEN ,BACKLINE,PDP,"TOM PACIFIC | 10"" X 8""",DRUM SET,TAMBOR,Batería :: Pacific Drums & Percussion (( PDP)),,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,"$1,260.00"
BP199808,BACKLINE | DRUM PACIFIC | TAMBOR | 12X9 | PDP | ID BP002,BP002,,,BIEN ,BACKLINE,PDP,"TOM PACIFIC | 12"" X 9""",DRUM SET,TAMBOR,Batería :: Pacific Drums & Percussion (( PDP)),,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP403142,BACKLINE | DRUM PACIFIC | TAMBOR | 14X12 | PDP | ID BP003,BP003,,,BIEN ,BACKLINE,PDP,"TOM PACIFIC | 14"" X 12""",DRUM SET,TAMBOR,Batería :: Pacific Drums & Percussion (( PDP)),,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP469251,BACKLINE | DRUM PACIFIC | BOMBO | 22X18 | PDP | ID BP004,BP004,,,BIEN ,BACKLINE,PDP,"BOMBO PACIFIC | 22"" X 18""",DRUM SET,BOMBO,Batería :: Pacific Drums & Percussion (( PDP)),,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP349974,BACKLINE | DRUM PACIFIC | ATRIL DE CONTRATIEMPOS | PDP | ID BP005,BP005,,,BIEN ,BACKLINE,PDP,ATRIL CONTRATIEMPOS | PACIFIC,DRUM SET,ATRIL,Batería :: Pacific Drums & Percussion (( PDP)),,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP486830,BACKLINE | DRUM PACIFIC | TOM HOLDER | PDP | ID BP006,BP006,,,BIEN ,BACKLINE,PEARL,TOM HOLDER,DRUM SET,SOPORTE,Batería :: Pacific Drums & Percussion (( PDP)),,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP223550,BACKLINE | DRUM PACIFIC | TOM HOLDER | PDP | ID BP007,BP007,,,BIEN ,BACKLINE,PEARL,TOM HOLDER,DRUM SET,SOPORTE,Batería :: Pacific Drums & Percussion (( PDP)),,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP693219,BACKLINE | DRUM PACIFIC | FLOOR STAND | PDP | ID BP008,BP008,,,BIEN ,BACKLINE,PEARL,FLOOR STAND,DRUM SET,ATRIL,Batería :: Pacific Drums & Percussion (( PDP)),,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP726194,BACKLINE | DRUM PACIFIC | CLUTCH | PDP | ID BD001,BD001,,,BIEN ,BACKLINE,DW,CLUTCH,DRUM SET,ACCESORIO,Batería :: Pacific Drums & Percussion (( PDP)),,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP508335,BACKLINE | DRUM COLLECTOR | TAMBOR | 8X7 | GENERICO | ID BG001,BG001,,,BIEN ,BACKLINE,GENERICO,"TOM COLLECTOR | 8"" X 7""",DRUM SET,TAMBOR,Batería :: DW | Collector,,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,"$2,630.00"
BP895123,BACKLINE | DRUM COLLECTOR | TAMBOR | 10X8 | DW | ID BD002,BD002,,,BIEN ,BACKLINE,DW,"TOM COLLECTOR | 10"" X 8""",DRUM SET,TAMBOR,Batería :: DW | Collector,,,,,SET,,,,769642,,$0.00,$0.00,$0.00
BP584244,BACKLINE | DRUM COLLECTOR | TAMBOR | 12X9 | DW | ID BD003,BD003,,,BIEN ,BACKLINE,DW,"TOM COLLECTOR | 12"" X 9""",DRUM SET,TAMBOR,Batería :: DW | Collector,,,,,SET,,,,769642,,$0.00,$0.00,$0.00
BP971677,BACKLINE | DRUM COLLECTOR | TAMBOR | 14X11 | DW | ID BD004,BD004,,,BIEN ,BACKLINE,DW,"TOM COLLECTOR | 14"" X 11""",DRUM SET,TAMBOR,Batería :: DW | Collector,,,,,SET,,,,769642,,$0.00,$0.00,$0.00
BP730859,BACKLINE | DRUM COLLECTOR | BOMBO | 22X18 | DW | ID BD005,BD005,,,BIEN ,BACKLINE,DW,"BOMBO COLLECTOR | 22"" X 18""",DRUM SET,BOMBO,Batería :: DW | Collector,,,,,SET,,,,769642,,$0.00,$0.00,$0.00
BP103002,BACKLINE | DRUM COLLECTOR | ATRIL DE CONTRATIEMPOS | DW 5000 | ID BD006,BD006,,,BIEN ,BACKLINE,DW,ATRIL DE CONTRATIEMPOS | DW5000,DRUM SET,ATRIL,Batería :: DW | Collector,,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP221520,BACKLINE | DRUM COLLECTOR | TOM HOLDER | DW | ID BD007,BD007,,,BIEN ,BACKLINE,DW,TOM HOLDER,DRUM SET,SOPORTE,Batería :: DW | Collector,,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP849580,BACKLINE | DRUM COLLECTOR | FLOOR STAND | DW | ID BD008,BD008,,,BIEN ,BACKLINE,DW,FLOOR STAND,DRUM SET,ATRIL,Batería :: DW | Collector,,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP188992,BACKLINE | DRUM COLLECTOR | FLOOR STAND | DW | ID BD009,BD009,,,BIEN ,BACKLINE,DW,FLOOR STAND,DRUM SET,ATRIL,Batería :: DW | Collector,,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP325526,BACKLINE | DRUM COLLECTOR | FLOOR STAND | DW | ID BD010,BD010,,,BIEN ,BACKLINE,DW,FLOOR STAND,DRUM SET,ATRIL,Batería :: DW | Collector,,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP941929,BACKLINE | DRUM COLLECTOR | CLAMP | DW | ID BD011,BD011,,,BIEN ,BACKLINE,DW,CLAMP,DRUM SET,SOPORTE,Batería :: DW | Collector,,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP511920,BACKLINE | DRUM COLLECTOR | CLUTCH | DW | ID BD012,BD012,,,BIEN ,BACKLINE,DW,CLUTCH,DRUM SET,ACCESORIO,Batería :: DW | Collector,,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP123642,BACKLINE | DRUM COLLECTOR | SEGURO DE CLUTCH | DW | ID BD013,BD013,,,BIEN ,BACKLINE,DW,SEGURO DE CLUTCH,DRUM SET,ACCESORIO,Batería :: DW | Collector,,,,,SET,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP579586,BACKLINE | HARDWARE | DW | BASE DE TAROLA | ID BD014,BD014,,,BIEN ,BACKLINE,DW,BASE | TAROLA,DRUM HARDWARE,ATRIL,Hardware de Batería :: DW | Base de Tarola,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$200.00
BP465827,BACKLINE | HARDWARE | DW | BASE DE TAROLA | ID BD015,BD015,,,BIEN ,BACKLINE,DW,BASE | TAROLA,DRUM HARDWARE,ATRIL,Hardware de Batería :: DW | Base de Tarola,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$200.00
BP402944,BACKLINE | HARDWARE | MAPEX | BASE DE TAROLA | ID BM001,BM001,,,BIEN ,BACKLINE,MAPEX,BASE | TAROLA,DRUM HARDWARE,ATRIL,Hardware de Batería :: Mapex | Base de Tarola,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$200.00
BP872613,BACKLINE | HARDWARE | PEARL | SOPORTE DE TAROLA | ID BP009,BP009,,,BIEN ,BACKLINE,PEARL,SOPORTE | TAROLA,DRUM HARDWARE,SOPORTE,Hardware de Batería :: Pearl | Soporte de Tarola,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$200.00
BP127984,BACKLINE | HARDWARE | MAPEX | FLOOR STAND PARA PLATILLOS | RECTA | ID BM002,BM002,,,BIEN ,BACKLINE,MAPEX,FLOOR STAND | PLATILLOS | RECTA,DRUM HARDWARE,ATRIL,Hardware de Batería :: Mapex | Floor Stand de Platillos Recta,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$250.00
BP842020,BACKLINE | HARDWARE | PDP | BASE PARA BOOM | ID BP010,BP010,,,BIEN ,BACKLINE,PDP,BASE | BOOM,DRUM HARDWARE,ATRIL,Hardware de Batería :: PDP | Base con Boom,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$250.00
BP519291,BACKLINE | HARDWARE | MAPEX | BASE PARA BOOM | ID BM003,BM003,,,BIEN ,BACKLINE,MAPEX,BASE | BOOM,DRUM HARDWARE,ATRIL,Hardware de Batería :: Mapex | Base con Boom,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$250.00
BP554438,BACKLINE | HARDWARE | MAPEX | BASE PARA BOOM | ID BM004,BM004,,,BIEN ,BACKLINE,MAPEX,BASE | BOOM,DRUM HARDWARE,ATRIL,Hardware de Batería :: Mapex | Base con Boom,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$250.00
BP790948,BACKLINE | HARDWARE | MAPEX | BASE PARA BOOM | ID BM005,BM005,,,BIEN ,BACKLINE,MAPEX,BASE | BOOM,DRUM HARDWARE,ATRIL,Hardware de Batería :: Mapex | Base con Boom,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$250.00
BP509454,BACKLINE | HARDWARE | MAPEX | BASE PARA BOOM | ID BM006,BM006,,,BIEN ,BACKLINE,MAPEX,BASE | BOOM,DRUM HARDWARE,ATRIL,Hardware de Batería :: Mapex | Base con Boom,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$250.00
BP870082,BACKLINE | HARDWARE | DW | FLOOR STAND PARA PLATILLOS CON BOOM | ID B016,BD016,,,BIEN ,BACKLINE,DW,FLOOR STAND | PLATILLOS | BOOM,DRUM HARDWARE,ATRIL,Hardware de Batería :: DW | Floor Stand de Platillos con Boom,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$250.00
BP695848,BACKLINE | HARDWARE | PDP | DRUM THRONE | ID BP011,BP011,,,BIEN ,BACKLINE,PDP,DRUM THRONE,DRUM HARDWARE,ASIENTO,Hardware de Batería :: PDP | Drum Throne,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$250.00
BP810736,BACKLINE | HARDWARE | GENERICO | DRUM THRONE | ID BG002,BG002,,,BIEN ,BACKLINE,GENERICO,DRUM THRONE,DRUM HARDWARE,ASIENTO,Hardware de Batería :: Generico | Drum Throne,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$250.00
BP284445,BACKLINE | HARDWARE | GENERICO | DRUM CARPET | ID BG003,BG003,,,BIEN ,BACKLINE,GENERICO,DRUM CARPET,DRUM HARDWARE,ALFOMBRA,Hardware de Batería :: Generico | Drum Carpet,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$100.00
BP670717,BACKLINE | HARDWARE | GENERICO | DRUM CARPET | ID BG004,BG004,,,BIEN ,BACKLINE,GENERICO,DRUM CARPET,DRUM HARDWARE,ALFOMBRA,Hardware de Batería :: Generico | Drum Carpet,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$100.00
BP128443,BACKLINE | HARDWARE | TAMA | PEDAL IRON COBRA | ID BT001,BT001,,,BIEN ,BACKLINE,TAMA,PEDAL | IRON | COBRA,DRUM HARDWARE,PEDAL,Hardware de Batería :: Tama | Pedal Iron Cobra,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,"$1,000.00"
BP156219,BACKLINE | HARDWARE | PDP | PEDAL CONCEPT | ID BP012,BP012,,,BIEN ,BACKLINE,PDP,PEDAL | CONCEPT,DRUM HARDWARE,PEDAL,Hardware de Batería :: PDP | Pedal Concept,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$300.00
BP732842,BACKLINE | HARDWARE | PDP | PEDAL PDSP 4050 | ID BP013,BP013,,,BIEN ,BACKLINE,PDP,PEDAL | PDSP 4050,DRUM HARDWARE,PEDAL,Hardware de Batería :: PDP | Pedal PDSP 4050,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP547201,"BACKLINE | PLATILLOS | ZILDJIAN | ZBT CHINA 18"" | ID BZ001",BZ001,,,BIEN ,BACKLINE,ZILDJIAN,"ZBT CHINA 18""",DRUM HARDWARE,PLATILLOS,"Hardware de Batería :: Zildjian | Platillos :: ZBT China 18""",,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$370.00
BP244789,"BACKLINE | PLATILLOS | ZILDJIAN | ZBT CRASH RIDE 18"" | ID BZ002",BZ002,,,BIEN ,BACKLINE,ZILDJIAN,"ZBT 1 CRASH RIDE 18""",DRUM HARDWARE,PLATILLOS,"Hardware de Batería :: Zildjian | Platillos :: ZBT 1 Crash Ride 18""",,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$370.00
BP605050,"BACKLINE | PLATILLOS | ZILDJIAN | ZBT HIT HAT 13"" | ID BZ003",BZ003,,,BIEN ,BACKLINE,ZILDJIAN,"ZBT HIT HAT 13""",DRUM HARDWARE,PLATILLOS,"Hardware de Batería :: Zildjian | Platillos :: ZBT Hit Hat 13""",,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$370.00
BP270954,"BACKLINE | PLATILLOS | ZILDJIAN | ZBT HIT HAT 13"" | ID BZ004",BZ004,,,BIEN ,BACKLINE,ZILDJIAN,"ZBT HIT HAT 13""",DRUM HARDWARE,PLATILLOS,"Hardware de Batería :: Zildjian | Platillos :: ZBT Hit Hat 13""",,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$370.00
BP328154,"BACKLINE | PLATILLOS | ZILDJIAN | ZBT CHINA SPLASH 10"" | ID BZ005",BZ005,,,BIEN ,BACKLINE,ZILDJIAN,"ZBT CHINA SPLASH 10""",DRUM HARDWARE,PLATILLOS,"Hardware de Batería :: Zildjian | Platillos :: ZBT China Splash 10""",,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$370.00
BP771018,"BACKLINE | PLATILLOS | ZILDJIAN | ZBT CRASH RIDE 14"" | ID BZ006",BZ006,,,BIEN ,BACKLINE,ZILDJIAN,"ZBT 1 CRASH RIDE 14""",DRUM HARDWARE,PLATILLOS,"Hardware de Batería :: Zildjian | Platillos :: ZBT 1 Crash Ride 14""",,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP537123,BACKLINE | HARDWARE | MAPEX | TAROLA | ID BM007,BM007,,,BIEN ,BACKLINE,MAPEX,TAROLA,DRUM HARDWARE,TAROLA,Hardware de Batería :: Mapex | Tarola,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$250.00
BP629115,BACKLINE | TECLADO | YAMAHA | XF8 | ID BY001,BY001,,,BIEN ,BACKLINE,YAMAHA,XF8,KEYBOARD HARDWARE,TECLADO,Teclado :: Yamaha | xf8,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,"$2,100.00"
BP582215,BACKLINE | PEDAL | PROEL | GF20 | ID BP014,BP014,,,BIEN ,BACKLINE,PROEL,GF20,KEYBOARD HARDWARE,PEDAL,Hardware de Teclado :: Pedal | GF20,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$0.00
BP489095,BACKLINE | HARDWARE | PRO LOK | ATRIL PARA PARTITURAS | ID BP015,BP015,,,BIEN ,BACKLINE,PRO LOK,ATRIL | PARTITURAS,BACKLINE HARDWARE,ATRIL,Backline General :: Pro Lok | Atril para Partituras,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$105.00
BP846498,BACKLINE | HARDWARE | PRO LOK | ATRIL PARA PARTITURAS | ID BP016,BP016,,,BIEN ,BACKLINE,PRO LOK,ATRIL | PARTITURAS,BACKLINE HARDWARE,ATRIL,Backline General :: Pro Lok | Atril para Partituras,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$105.00
BP895237,BACKLINE | HARDWARE | PRO LOK | ATRIL PARA PARTITURAS | ID BP017,BP017,,,BIEN ,BACKLINE,PRO LOK,ATRIL | PARTITURAS,BACKLINE HARDWARE,ATRIL,Backline General :: Pro Lok | Atril para Partituras,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$105.00
BP866657,BACKLINE | HARDWARE | HERCULES | ATRIL PARA PARTITURAS | ID BH001,BH001,,,BIEN ,BACKLINE,HERCULES,ATRIL | PARTITURAS,BACKLINE HARDWARE,ATRIL,Backline General :: Hercules | Atril para Partituras,,,,,INDIVIDUAL,,,,COLOCAR COMPLETO,,$0.00,$0.00,$110.00
